PCname,Caption,Description,Status,Manufacturer,Name,GuaranteesDelivery,GuaranteesSequencing,MaximumAddressSize,MaximumMessageSize,SupportsConnectData,SupportsEncryption,SupportsGracefulClosing,SupportsGuaranteedBandwidth,SupportsQualityofService,DNSDomain,DHCPEnabled,IP_Type,DefaultIPGateway,MACAddress,MACAdress_company,Date_local,Date_universal_microsecond
"localhost","Workstation","LanmanWorkstation","OK","Microsoft Corporation","Microsoft Windows Network","True","True","16","0","False","False","True","False","False","lan","True","IPv4","192.168.1.254","68-EC-C5-33-83-7B","Intel Corporate","2020-12-12 20:43:49.890222","1607798629890222"
"localhost","Workstation","LanmanWorkstation","OK","Microsoft Corporation","Microsoft Windows Network","True","True","16","0","False","False","True","False","False","lan","True","IPv6","fe-80-a6-91-b1-ff-fe-e1-d7-8e","68-EC-C5-33-83-7B","Intel Corporate","2020-12-12 20:43:49.945489","1607798629945489"
"My PC","Workstation","LanmanWorkstation","OK","Microsoft Corporation","Microsoft Windows Network","True","True","16","0","False","False","True","False","False","lan","True","IPv4","192.168.1.254","68-EC-C5-33-83-7B","Intel Corporate","2020-12-12 20:53:02.188180","1607799182188180"
"My PC","Workstation","LanmanWorkstation","OK","Microsoft Corporation","Microsoft Windows Network","True","True","16","0","False","False","True","False","False","lan","True","IPv6","fe-80-a6-91-b1-ff-fe-e1-d7-8e","68-EC-C5-33-83-7B","Intel Corporate","2020-12-12 20:53:02.262273","1607799182262273"
"My PC","Workstation","LanmanWorkstation","OK","Microsoft Corporation","Microsoft Windows Network","True","True","16","0","False","False","True","False","False","lan","True","IPv4","192.168.1.254","10-E7-C6-A9-A4-F7","Hewlett Packard","2021-03-08 09:54:45.976304","1615190085976304"
"My PC","Workstation","LanmanWorkstation","OK","Microsoft Corporation","Microsoft Windows Network","True","True","16","0","False","False","True","False","False","lan","True","IPv6","fe-80-a6-91-b1-ff-fe-e1-d7-8e","10-E7-C6-A9-A4-F7","Hewlett Packard","2021-03-08 09:54:46.150836","1615190086150836"
"My PC","Workstation","LanmanWorkstation","OK","Microsoft Corporation","Microsoft Windows Network","True","True","16","0","False","False","True","False","False","lan","True","IPv4","192.168.1.254","10-E7-C6-A9-A4-F7","Hewlett Packard","2021-03-08 09:54:46.211337","1615190086211337"
"My PC","Workstation","LanmanWorkstation","OK","Microsoft Corporation","Microsoft Windows Network","True","True","16","0","False","False","True","False","False","lan","True","IPv6","fe-80-a6-91-b1-ff-fe-e1-d7-8e","10-E7-C6-A9-A4-F7","Hewlett Packard","2021-03-08 09:54:46.257781","1615190086257781"
"My PC","Workstation","LanmanWorkstation","OK","Microsoft Corporation","Microsoft Windows Network","True","True","16","0","False","False","True","False","False","lan","True","IPv4","192.168.1.254","10-E7-C6-A9-A4-F7","Hewlett Packard","2021-03-08 09:59:39.304439","1615190379304439"
"My PC","Workstation","LanmanWorkstation","OK","Microsoft Corporation","Microsoft Windows Network","True","True","16","0","False","False","True","False","False","lan","True","IPv6","fe-80-a6-91-b1-ff-fe-e1-d7-8e","10-E7-C6-A9-A4-F7","Hewlett Packard","2021-03-08 09:59:39.357219","1615190379357219"
"My PC","Workstation","LanmanWorkstation","OK","Microsoft Corporation","Microsoft Windows Network","True","True","16","0","False","False","True","False","False","lan","True","IPv4","192.168.1.254","10-E7-C6-A9-A4-F7","Hewlett Packard","2021-03-08 09:59:39.411186","1615190379411186"
"My PC","Workstation","LanmanWorkstation","OK","Microsoft Corporation","Microsoft Windows Network","True","True","16","0","False","False","True","False","False","lan","True","IPv6","fe-80-a6-91-b1-ff-fe-e1-d7-8e","10-E7-C6-A9-A4-F7","Hewlett Packard","2021-03-08 09:59:39.454476","1615190379454476"
"My PC","Workstation","LanmanWorkstation","OK","Microsoft Corporation","Microsoft Windows Network","True","True","16","0","False","False","True","False","False","lan","True","IPv4","192.168.1.254","10-E7-C6-A9-A4-F7","Hewlett Packard","2021-03-08 10:01:03.206659","1615190463206659"
"My PC","Workstation","LanmanWorkstation","OK","Microsoft Corporation","Microsoft Windows Network","True","True","16","0","False","False","True","False","False","lan","True","IPv6","fe-80-a6-91-b1-ff-fe-e1-d7-8e","10-E7-C6-A9-A4-F7","Hewlett Packard","2021-03-08 10:01:03.255635","1615190463255635"
"My PC","Workstation","LanmanWorkstation","OK","Microsoft Corporation","Microsoft Windows Network","True","True","16","0","False","False","True","False","False","lan","True","IPv4","192.168.1.254","10-E7-C6-A9-A4-F7","Hewlett Packard","2021-03-08 10:01:03.317338","1615190463317338"
