PC_name, OS, OS_version,Date_local,Date_universal_microsecond
"localhost","Microsoft Windows 10 Home","10.0.19041","2020-12-12 20:43:40.299362","1607798620299362"
"My PC","Microsoft Windows 10 Home","10.0.19041","2020-12-12 20:53:01.787450","1607799181787450"
"My PC","Microsoft Windows 10 Home","10.0.19042","2021-03-07 18:54:09.993301","1615136049993301"
"My PC","Microsoft Windows 10 Home","10.0.19042","2021-03-07 18:58:55.691422","1615136335691422"
"My PC","Microsoft Windows 10 Home","10.0.19042","2021-03-07 19:02:48.323201","1615136568323201"
"My PC","Microsoft Windows 10 Home","10.0.19042","2021-03-07 19:05:09.543839","1615136709543839"
"My PC","Microsoft Windows 10 Home","10.0.19042","2021-03-07 19:08:10.402075","1615136890402075"
"My PC","Microsoft Windows 10 Home","10.0.19042","2021-03-07 19:13:49.586989","1615137229586989"
"My PC","Microsoft Windows 10 Home","10.0.19042","2021-03-07 19:16:24.847402","1615137384847402"
"My PC","Microsoft Windows 10 Home","10.0.19042","2021-03-07 19:22:35.118144","1615137755118144"
"My PC","Microsoft Windows 10 Home","10.0.19042","2021-03-07 20:03:00.441911","1615140180441911"
"My PC","Microsoft Windows 10 Home","10.0.19042","2021-03-07 20:09:35.282334","1615140575282334"
"My PC","Microsoft Windows 10 Home","10.0.19042","2021-03-07 20:10:14.688109","1615140614688109"
"My PC","Microsoft Windows 10 Home","10.0.19042","2021-03-07 20:15:28.145244","1615140928145244"
"My PC","Microsoft Windows 10 Home","10.0.19042","2021-03-07 20:23:54.365291","1615141434365291"
"My PC","Microsoft Windows 10 Home","10.0.19042","2021-03-07 20:30:11.977757","1615141811977757"
"My PC","Microsoft Windows 10 Home","10.0.19042","2021-03-07 20:30:42.917295","1615141842917295"
"My PC","Microsoft Windows 10 Home","10.0.19042","2021-03-07 20:40:05.225186","1615142405225186"
"My PC","Microsoft Windows 10 Home","10.0.19042","2021-03-07 20:46:05.912679","1615142765912679"
"My PC","Microsoft Windows 10 Home","10.0.19042","2021-03-07 20:47:21.802982","1615142841802982"
"localhost","Microsoft Windows 10 Home","10.0.19042","2021-03-07 20:47:39.581882","1615142859581882"
"localhost","Microsoft Windows 10 Home","10.0.19042","2021-03-08 09:31:23.340727","1615188683340727"
"My PC","Microsoft Windows 10 Home","10.0.19042","2021-03-08 09:31:55.193091","1615188715193091"
"My PC","Microsoft Windows 10 Home","10.0.19042","2021-03-08 09:32:23.458664","1615188743458664"
"My PC","Microsoft Windows 10 Home","10.0.19042","2021-03-08 09:32:38.771527","1615188758771527"
"My PC","Microsoft Windows 10 Home","10.0.19042","2021-03-08 09:33:31.784751","1615188811784751"
"My PC","Microsoft Windows 10 Home","10.0.19042","2021-03-08 09:40:49.064757","1615189249064757"
"My PC","Microsoft Windows 10 Home","10.0.19042","2021-03-08 09:42:00.113839","1615189320113839"
"My PC","Microsoft Windows 10 Home","10.0.19042","2021-03-08 09:42:36.016066","1615189356016066"
"My PC","Microsoft Windows 10 Home","10.0.19042","2021-03-08 09:42:56.324381","1615189376324381"
"My PC","Microsoft Windows 10 Home","10.0.19042","2021-03-08 09:43:33.351882","1615189413351882"
"My PC","Microsoft Windows 10 Home","10.0.19042","2021-03-08 09:44:14.445806","1615189454445806"
"My PC","Microsoft Windows 10 Home","10.0.19042","2021-03-08 09:45:01.386772","1615189501386772"
"My PC","Microsoft Windows 10 Home","10.0.19042","2021-03-08 14:58:16.483682","1615208296483682"
"My PC","Microsoft Windows 10 Home","10.0.19042","2021-03-08 14:59:19.357813","1615208359357813"
"My PC","Microsoft Windows 10 Home","10.0.19042","2021-03-08 15:05:09.402260","1615208709402260"
"My PC","Microsoft Windows 10 Home","10.0.19042","2021-03-08 15:05:23.288011","1615208723288011"
"My PC","Microsoft Windows 10 Home","10.0.19042","2021-03-08 15:05:53.483840","1615208753483840"
"My PC","Microsoft Windows 10 Home","10.0.19042","2021-03-08 15:06:14.422417","1615208774422417"
"My PC","Microsoft Windows 10 Home","10.0.19042","2021-03-08 15:07:15.606710","1615208835606710"
"My PC","Microsoft Windows 10 Home","10.0.19042","2021-03-08 15:07:32.491137","1615208852491137"
"My PC","Microsoft Windows 10 Home","10.0.19042","2021-03-08 15:08:16.966902","1615208896966902"
"My PC","Microsoft Windows 10 Home","10.0.19042","2021-03-08 15:19:42.721466","1615209582721466"
"My PC","Microsoft Windows 10 Home","10.0.19042","2021-03-08 15:20:19.870494","1615209619870494"
"My PC","Microsoft Windows 10 Home","10.0.19042","2021-03-08 15:20:34.447294","1615209634447294"
"My PC","Microsoft Windows 10 Home","10.0.19042","2021-03-08 15:22:10.787732","1615209730787732"
"My PC","Microsoft Windows 10 Home","10.0.19042","2021-03-08 15:22:40.439506","1615209760439506"
"My PC","Microsoft Windows 10 Home","10.0.19042","2021-03-08 15:23:31.028671","1615209811028671"
"My PC","Microsoft Windows 10 Home","10.0.19042","2021-03-08 15:25:07.134072","1615209907134072"
"My PC","Microsoft Windows 10 Home","10.0.19042","2021-03-08 15:29:06.940703","1615210146940703"
"My PC","Microsoft Windows 10 Home","10.0.19042","2021-03-08 15:29:26.539661","1615210166539661"
"My PC","Microsoft Windows 10 Home","10.0.19042","2021-03-08 15:32:31.477591","1615210351477591"
"My PC","Microsoft Windows 10 Home","10.0.19042","2021-03-08 15:33:52.800800","1615210432800800"
"My PC","Microsoft Windows 10 Home","10.0.19042","2021-03-08 15:34:13.037817","1615210453037817"
"My PC","Microsoft Windows 10 Home","10.0.19042","2021-03-08 15:35:51.244863","1615210551244863"
"My PC","Microsoft Windows 10 Home","10.0.19042","2021-03-08 15:36:50.446592","1615210610446592"
"My PC","Microsoft Windows 10 Home","10.0.19042","2021-03-08 15:37:08.616118","1615210628616118"
"My PC","Microsoft Windows 10 Home","10.0.19042","2021-03-08 15:37:24.856369","1615210644856369"
"My PC","Microsoft Windows 10 Home","10.0.19042","2021-03-08 15:39:10.854618","1615210750854618"
"My PC","Microsoft Windows 10 Home","10.0.19042","2021-03-08 16:48:18.491079","1615214898491079"
